timestamp,TAC_Reading
1493719652,-0.00315147873665159,0
1493721476,0.000553576887265886,0
1493721794,0.00266308816685042,0
1493722111,0.00239248849981059,0
1493722427,0.000225782243434316,0
1493722743,-0.00225896619095417,0
1493723058,-0.00323762814013188,0
1493723374,-0.00180030190545564,0
1493723689,0.00128430834288877,0
1493724005,0.00385702351042442,0
1493724321,0.00376396261014674,0
1493724637,0.000557992158812803,0
1493726456,-0.00376683588361336,0
1493728273,-0.00584243511519941,0
1493730090,-0.00338355690886054,0
1493731908,0.00261952922704216,0
1493733725,0.00784556706290317,0
1493735544,0.00736804434735982,0
1493737362,-0.000225219668432012,0
1493739181,-0.0101225499465458,0
1493741003,-0.012387063733641,0
1493742825,0.00300672361776041,0
1493744647,0.0398315484122714,0
1493746471,0.0919327452676168,1
1493748313,0.144962087401048,1
1493750155,0.1830374955619,1
1493752001,0.196654644607769,1
1493753845,0.187194036313509,1
1493755691,0.165356630938429,1
1493757534,0.144615040296704,1
1493759379,0.133819651982235,1
1493761224,0.133441455919784,1
1493763069,0.137379647775143,1
1493764912,0.138581675436733,1
1493766756,0.134398836872604,1
1493768599,0.128123458215826,1
1493770443,0.126010920282088,1
1493772286,0.132214725270272,1
1493774127,0.145316879067659,1
1493775967,0.158789153018412,1
1493777808,0.164882010535598,1
1493779648,0.159159866899531,1
1493781487,0.142696400006997,1
1493783327,0.120770799159506,1
1493785170,0.0993259601831294,1
1493787010,0.0817455917074736,1
1493788849,0.0679188883827767,0
1493790689,0.0557230452825034,0
1493792529,0.0434040713792513,0
1493794368,0.0310073654090573,0
1493796206,0.0200452398286903,0
1493798028,0.0120364734211009,0
1493799851,0.0072804589669307,0
1493801672,0.00478987375058563,0
1493803494,0.00320716754855652,0
1493805314,0.00173832811695795,0
